182.;Schollenfilet;in Bierteig paniert und gebraten;13,00;Fischgerichte;gemischter Salat, Reis oder Pommes
183.;Forelle;gebraten, mit Cocktailsauce;13,00;Fischgerichte;gemischter Salat, Reis oder Pommes
185.;3 Scampi mit Kalamaris;und pikanter Sauce;15,00;Fischgerichte;gemischter Salat, Reis oder Pommes
186.;Seelachfilet;gebraten, mit pikanter Sauce;14,00;Fischgerichte;gemischter Salat, Reis oder Pommes
187.;Scampi;gebraten, mit Cocktail-Sauce;18,50;Fischgerichte;gemischter Salat, Reis oder Pommes
188.;Scampi-Spieß;gegrillt, mit Knoblauch-Sauce;18,50;Fischgerichte;gemischter Salat, Reis oder Pommes
189.;Kalamaris und Sardinen;mit Cocktail-Sauce;14,00;Fischgerichte;gemischter Salat, Reis oder Pommes
190.;Scampi-Spezial;geschält und gedünstet mit Metaxa-Sauce;17,00;Fischgerichte;gemischter Salat, Reis oder Pommes
191.;Scampi;mit griechischen Nudeln und pikanter Sauce;18,00;Fischgerichte;gemischter Salat, Reis oder Pommes
192.;Fischplatte;Scampi, Kalamaris, Schollenfilet, Sardinen, mit Cocktail-Sauce;18,50;Fischgerichte;gemischter Salat, Reis oder Pommes
200.;Reis;;2,00;Beilagen;
201.;Pommes frites;;2,00;Beilagen;
202.;Kroketten;;3,00;Beilagen;
203.;Bratkartoffeln;;3,50;Beilagen;
204.;Grüne Bohnen;;4,00;Beilagen;
205.;Dicke Bohnen;;4,00;Beilagen;
206.;Kritharaki;;4,00;Beilagen;
207.;Okra;;4,00;Beilagen;
208.;Stifado;;4,00;Beilagen;
209.;Folienkartoffel;mit Zaziki;4,00;Beilagen;
210.;Spaghetti;in Sahne-Sauce und Käse überbacken und Salat;9,50;Nudelgerichte;
211.;Spaghetti;in Sahne-Sauce mit drei Scampi und Salat;14,00;Nudelgerichte;
212.;Spaghetti;mit Metaxa-Sauce und Käse überbacken und Salat;10,00;Nudelgerichte;
213.;Spaghetti;mit Hackfleisch und Käse überbacken und Salat;8,50;Nudelgerichte;
214.;Kritharaki Griechische Nudeln;mit Hackfleisch und Käse überbacken und Salat;8,50;Nudelgerichte;
